name,compression_level,buffer_size,dataset_type,dataset_size,workload_type,num_operations,build_ms,bytes_per_key,lookup_ns,insert_ops_sec,elapsed_seconds
exp2.1_comp0.0_size100k_clustered,0.0,0.01,clustered,100000,mixed,100000,18.93,18.94,197.1,9480094.0,0.06288719177246094
exp2.1_comp0.0_size100k_sequential,0.0,0.01,sequential,100000,mixed,100000,12.46,17.25,109.0,9398274.0,0.04640650749206543
exp2.1_comp0.0_size500k_clustered,0.0,0.01,clustered,500000,mixed,100000,86.82,18.98,293.8,9886591.0,0.17786526679992676
exp2.1_comp0.0_size500k_sequential,0.0,0.01,sequential,500000,mixed,100000,55.18,17.25,158.2,8730479.0,0.10048127174377441
exp2.1_comp0.0_size1000k_clustered,0.0,0.01,clustered,1000000,mixed,100000,153.77,19.0,328.3,9446046.0,0.2726938724517822
exp2.1_comp0.0_size1000k_sequential,0.0,0.01,sequential,1000000,mixed,100000,103.76,17.25,194.6,9595751.0,0.16113519668579102
exp2.1_comp0.25_size100k_clustered,0.25,0.01,clustered,100000,mixed,100000,15.99,19.44,113.3,12404589.0,0.04979228973388672
exp2.1_comp0.25_size100k_sequential,0.25,0.01,sequential,100000,mixed,100000,12.49,17.75,126.0,9171953.0,0.04531097412109375
exp2.1_comp0.25_size500k_clustered,0.25,0.01,clustered,500000,mixed,100000,91.83,21.75,520.3,9534437.0,0.2090764045715332
exp2.1_comp0.25_size500k_sequential,0.25,0.01,sequential,500000,mixed,100000,60.33,17.75,128.2,12066622.0,0.10177278518676758
exp2.1_comp0.25_size1000k_clustered,0.25,0.01,clustered,1000000,mixed,100000,190.51,21.75,454.8,10462330.0,0.34433650970458984
exp2.1_comp0.25_size1000k_sequential,0.25,0.01,sequential,1000000,mixed,100000,127.85,17.75,190.5,10121200.0,0.18456459045410156
exp2.1_comp0.5_size100k_clustered,0.5,0.01,clustered,100000,mixed,100000,14.41,18.5,98.2,7499173.0,0.05282855033874512
exp2.1_comp0.5_size100k_sequential,0.5,0.01,sequential,100000,mixed,100000,16.65,18.5,136.5,7641369.0,0.052761077880859375
exp2.1_comp0.5_size500k_clustered,0.5,0.01,clustered,500000,mixed,100000,81.61,19.87,280.0,7169849.0,0.17032265663146973
exp2.1_comp0.5_size500k_sequential,0.5,0.01,sequential,500000,mixed,100000,79.08,18.5,291.1,7338488.0,0.1358938217163086
exp2.1_comp0.5_size1000k_clustered,0.5,0.01,clustered,1000000,mixed,100000,163.69,18.94,384.8,4497192.0,0.28273653984069824
exp2.1_comp0.5_size1000k_sequential,0.5,0.01,sequential,1000000,mixed,100000,191.45,18.5,406.9,5483692.0,0.2708320617675781
exp2.1_comp0.75_size100k_clustered,0.75,0.01,clustered,100000,mixed,100000,21.12,19.0,157.6,7539891.0,0.07202959060668945
exp2.1_comp0.75_size100k_sequential,0.75,0.01,sequential,100000,mixed,100000,20.23,19.0,216.4,5862079.0,0.06885647773742676
exp2.1_comp0.75_size500k_clustered,0.75,0.01,clustered,500000,mixed,100000,96.45,19.0,210.0,8526526.0,0.16425037384033203
exp2.1_comp0.75_size500k_sequential,0.75,0.01,sequential,500000,mixed,100000,96.34,19.0,397.7,5822084.0,0.16321444511413574
exp2.1_comp0.75_size1000k_clustered,0.75,0.01,clustered,1000000,mixed,100000,190.77,19.0,485.2,5228134.0,0.3067185878753662
exp2.1_comp0.75_size1000k_sequential,0.75,0.01,sequential,1000000,mixed,100000,200.36,19.0,624.9,3266042.0,0.30362796783447266
exp2.1_comp1.0_size100k_clustered,1.0,0.01,clustered,100000,mixed,100000,24.49,19.75,169.3,7027855.0,0.06939339637756348
exp2.1_comp1.0_size100k_sequential,1.0,0.01,sequential,100000,mixed,100000,24.57,19.75,225.2,5899887.0,0.07293128967285156
exp2.1_comp1.0_size500k_clustered,1.0,0.01,clustered,500000,mixed,100000,112.03,19.75,364.8,5555634.0,0.19623041152954102
exp2.1_comp1.0_size500k_sequential,1.0,0.01,sequential,500000,mixed,100000,119.37,19.75,420.3,4600595.0,0.18633437156677246
exp2.1_comp1.0_size1000k_clustered,1.0,0.01,clustered,1000000,mixed,100000,276.26,19.75,528.3,4368703.0,0.4016430377960205
exp2.1_comp1.0_size1000k_sequential,1.0,0.01,sequential,1000000,mixed,100000,263.18,19.75,571.8,4161295.0,0.36081600189208984
