name,compression_level,buffer_size,dataset_type,dataset_size,workload_type,num_operations,build_ms,bytes_per_key,lookup_ns,insert_ops_sec,elapsed_seconds
exp2.2_buffer5_wlread_heavy,0.5,0.005,clustered,500000,read_heavy,100000,93.54,19.87,268.3,5747746.0,0.1790783405303955
exp2.2_buffer5_wlmixed,0.5,0.005,clustered,500000,mixed,100000,85.06,19.87,250.5,7496443.0,0.17065763473510742
exp2.2_buffer5_wlwrite_heavy,0.5,0.005,clustered,500000,write_heavy,100000,87.6,19.87,303.9,9549975.0,0.1537036895751953
exp2.2_buffer10_wlread_heavy,0.5,0.01,clustered,500000,read_heavy,100000,77.55,19.87,227.2,6233655.0,0.16023588180541992
exp2.2_buffer10_wlmixed,0.5,0.01,clustered,500000,mixed,100000,84.37,19.87,432.6,5334934.0,0.17481470108032227
exp2.2_buffer10_wlwrite_heavy,0.5,0.01,clustered,500000,write_heavy,100000,86.42,19.87,289.8,9734003.0,0.15244221687316895
exp2.2_buffer20_wlread_heavy,0.5,0.02,clustered,500000,read_heavy,100000,79.72,19.87,255.9,4918299.0,0.17272067070007324
exp2.2_buffer20_wlmixed,0.5,0.02,clustered,500000,mixed,100000,81.26,19.87,320.7,7035901.0,0.16630864143371582
exp2.2_buffer20_wlwrite_heavy,0.5,0.02,clustered,500000,write_heavy,100000,81.74,19.87,334.8,9579226.0,0.14767765998840332
exp2.2_buffer50_wlread_heavy,0.5,0.05,clustered,500000,read_heavy,100000,82.15,19.87,162.2,7830799.0,0.14986038208007812
exp2.2_buffer50_wlmixed,0.5,0.05,clustered,500000,mixed,100000,82.04,19.87,338.4,6993371.0,0.16599059104919434
exp2.2_buffer50_wlwrite_heavy,0.5,0.05,clustered,500000,write_heavy,100000,77.24,19.87,302.1,10009859.0,0.14382576942443848
exp2.2_buffer100_wlread_heavy,0.5,0.1,clustered,500000,read_heavy,100000,85.29,19.87,212.5,6772000.0,0.1613764762878418
exp2.2_buffer100_wlmixed,0.5,0.1,clustered,500000,mixed,100000,83.84,19.87,263.2,7468450.0,0.17443203926086426
exp2.2_buffer100_wlwrite_heavy,0.5,0.1,clustered,500000,write_heavy,100000,86.2,19.87,491.6,8783702.0,0.16262054443359375
