Index,Workload,Dataset,DatasetSize,BuildTime_ms,Memory_MB,BytesPerKey,MeanLookup_ns,P95Lookup_ns,P99Lookup_ns,InsertThroughput_ops
BTree,Read-Heavy (95R/5W),Clustered,499923,25.2055,9.15389,19.2,22.7353,30,31,9440370.0
HashTable,Read-Heavy (95R/5W),Clustered,499923,29.7035,19.9191,41.7799,183.277,391,621,10387400.0
ART,Read-Heavy (95R/5W),Clustered,499923,33.4786,9.53532,20.0001,393.944,831,1182,6386620.0
PGM-Index,Read-Heavy (95R/5W),Clustered,499923,28.0808,7.63011,16.004,155.721,311,461,2726950.0
RMI,Read-Heavy (95R/5W),Clustered,499923,69.6059,7.62976,16.0032,73.0842,140,230,3079250.0
HALI,Read-Heavy (95R/5W),Clustered,499923,32.7499,7.98,16.7378,635.666,1212,1654,958813.0
BTree,Write-Heavy (10R/90W),Clustered,499923,20.256,9.15389,19.2,23.7938,30,31,17397100.0
HashTable,Write-Heavy (10R/90W),Clustered,499923,20.0067,19.9191,41.7799,158.257,270,381,13898700.0
ART,Write-Heavy (10R/90W),Clustered,499923,27.7346,9.53532,20.0001,678.03,1192,1704,13739400.0
PGM-Index,Write-Heavy (10R/90W),Clustered,499923,17.4384,7.63011,16.004,431.527,872,1503,176526.0
RMI,Write-Heavy (10R/90W),Clustered,499923,73.1923,7.62976,16.0032,411.891,872,1603,185887.0
HALI,Write-Heavy (10R/90W),Clustered,499923,32.3012,7.98,16.7378,744.479,1513,2034,959098.0
BTree,Mixed (50R/50W),Clustered,499923,19.0255,9.15389,19.2,22.9813,21,71,8741240.0
HashTable,Mixed (50R/50W),Clustered,499923,18.0657,19.9191,41.7799,155.022,301,421,12175500.0
ART,Mixed (50R/50W),Clustered,499923,22.7507,9.53532,20.0001,281.074,531,711,12100400.0
PGM-Index,Mixed (50R/50W),Clustered,499923,18.4229,7.63011,16.004,181.97,331,481,344522.0
RMI,Mixed (50R/50W),Clustered,499923,66.5066,7.62976,16.0032,250.899,531,802,341323.0
HALI,Mixed (50R/50W),Clustered,499923,33.9817,7.98,16.7378,668.31,1303,1704,1053600.0
BTree,Read-Heavy (95R/5W),Lognormal,499937,19.5332,9.15414,19.2,28.3174,31,40,7413310.0
HashTable,Read-Heavy (95R/5W),Lognormal,499937,26.5518,19.9195,41.7794,121.89,230,321,15205400.0
ART,Read-Heavy (95R/5W),Lognormal,499937,26.2612,9.53559,20.0001,263.909,491,721,9047270.0
PGM-Index,Read-Heavy (95R/5W),Lognormal,499937,29.2264,7.63032,16.004,156.619,300,410,2293280.0
RMI,Read-Heavy (95R/5W),Lognormal,499937,69.7244,7.62997,16.0032,71.98,210,351,3155780.0
HALI,Read-Heavy (95R/5W),Lognormal,499937,27.6891,7.66935,16.0858,698.975,1242,1623,953952.0
BTree,Write-Heavy (10R/90W),Lognormal,499937,20.4825,9.15414,19.2,23.0244,30,40,15128100.0
HashTable,Write-Heavy (10R/90W),Lognormal,499937,18.5801,19.9195,41.7794,100.609,201,281,20680000.0
ART,Write-Heavy (10R/90W),Lognormal,499937,25.7259,9.53559,20.0001,706.668,1353,2474,15121700.0
PGM-Index,Write-Heavy (10R/90W),Lognormal,499937,30.2108,7.63032,16.004,442.704,791,1834,181736.0
RMI,Write-Heavy (10R/90W),Lognormal,499937,70.8769,7.62997,16.0032,381.343,701,1613,184641.0
HALI,Write-Heavy (10R/90W),Lognormal,499937,28.7817,7.66935,16.0858,985.016,1573,3066,943807.0
BTree,Mixed (50R/50W),Lognormal,499937,20.4271,9.15414,19.2,22.1597,30,40,8954470.0
HashTable,Mixed (50R/50W),Lognormal,499937,24.1861,19.9195,41.7794,200.041,350,481,9519290.0
ART,Mixed (50R/50W),Lognormal,499937,26.4071,9.53559,20.0001,330.078,591,802,9706540.0
PGM-Index,Mixed (50R/50W),Lognormal,499937,16.7777,7.63032,16.004,254.955,531,801,329930.0
RMI,Mixed (50R/50W),Lognormal,499937,68.24,7.62997,16.0032,187.918,391,621,344543.0
HALI,Mixed (50R/50W),Lognormal,499937,36.5876,7.66935,16.0858,709.555,1212,1663,963185.0
BTree,Read-Heavy (95R/5W),Mixed,499325,20.3054,9.14294,19.2,21.0799,30,31,2735130.0
